,player_id,player,team,position,pos_rank,min,max,ADP,count
14,15708,"Hall, Breece",NYJ,RB,RB1,1,3,1.0,685
34,15751,"London, Drake",ATL,WR,WR1,1,6,2.9,685
17,15711,"Walker III, Kenneth",SEA,RB,RB2,1,8,3.1,683
35,15752,"Burks, Treylon",TEN,WR,WR2,1,9,4.0,677
36,15753,"Wilson, Garrett",NYJ,WR,WR3,2,11,5.2,669
3,13642,"Tate, Auden",ATL,WR,WR4,6,6,6.0,1
39,15756,"Williams, Jameson",DET,WR,WR5,2,11,6.3,654
8,15692,"Pickett, Kenny",PIT,QB,QB1,1,13,7.0,629
37,15754,"Olave, Chris",NOS,WR,WR6,2,11,7.4,625
46,15766,"Moore, Skyy",KCC,WR,WR7,4,13,9.0,578
55,15789,"Watson, Christian",GBP,WR,WR8,1,16,10.2,527
21,15715,"Cook, James",BUF,RB,RB3,2,17,10.8,499
44,15762,"Pickens, George",PIT,WR,WR9,7,18,12.0,457
38,15755,"Dotson, Jahan",WAS,WR,WR10,7,18,12.8,427
26,15721,"White, Rachaad",TBB,RB,RB4,8,24,15.1,327
10,15694,"Willis, Malik",TEN,QB,QB2,2,25,15.1,313
56,15794,"McBride, Trey",ARI,TE,TE1,2,27,15.8,306
0,11225,"Patterson, Cordarrelle",ATL,RB,RB5,11,29,16.2,8
23,15717,"Pierce, Dameon",HOU,RB,RB6,4,26,16.4,256
15,15709,"Spiller, Isaiah",LAC,RB,RB7,3,32,17.3,231
41,15758,"Bell, David",CLE,WR,WR11,9,28,17.3,241
4,14331,"Johnson, D'Ernest",CLE,RB,RB8,18,18,18.0,1
5,14873,"Okwuegbunam, Albert",DEN,TE,TE2,18,18,18.0,1
13,15697,"Ridder, Desmond",ATL,QB,QB3,5,29,18.1,198
42,15759,"Metchie, John",HOU,WR,WR12,12,28,19.5,156
48,15768,"Pierce, Alec",IND,WR,WR13,10,30,19.6,176
12,15696,"Zappe, Bailey",NEP,QB,QB4,20,20,20.0,1
7,15691,"Corral, Matt",CAR,QB,QB5,8,30,20.9,152
20,15714,"White, Zamir",LVR,RB,RB9,12,36,22.9,117
22,15716,"Robinson, Brian",WAS,RB,RB10,15,34,23.3,94
40,15757,"Robinson, Wan'Dale",NYG,WR,WR14,13,33,23.5,96
54,15788,"Tolbert, Jalen",DAL,WR,WR15,7,32,23.8,83
18,15712,"Allgeier, Tyler",ATL,RB,RB11,15,32,24.3,83
59,15799,"Ferguson, Jake",DAL,TE,TE3,7,43,25.0,2
32,15746,"Davis-Price, Tyrion",SFO,RB,RB12,18,35,26.1,70
61,15840,"Woods, Jelani",IND,TE,TE4,14,40,26.2,62
47,15767,"Jones, Velus",CHI,WR,WR16,9,40,29.6,16
43,15761,"Shakir, Khalil",BUF,WR,WR17,25,41,30.6,23
58,15797,"Dulcich, Greg",DEN,TE,TE5,16,37,30.6,25
65,15901,"Philips, Kyle",TEN,WR,WR18,31,31,31.0,1
53,15787,"Thornton, Tyquan",NEP,WR,WR19,15,42,31.4,20
9,15693,"Howell, Sam",WAS,QB,QB6,26,44,31.9,23
6,14977,"Osborn, K.J.",MIN,WR,WR20,16,47,32.7,3
45,15763,"Ross, Justyn",KCC,WR,WR21,25,43,32.8,20
31,15734,"Ingram, Keaontay",ARI,RB,RB13,23,40,33.5,17
30,15733,"Strong Jr., Pierre",NEP,RB,RB14,29,45,34.3,12
16,15710,"Williams, Kyren",LAR,RB,RB15,13,45,34.6,9
50,15779,"Doubs, Romeo",GBP,WR,WR22,25,48,34.9,15
57,15796,"Ruckert, Jeremy",NYJ,TE,TE6,27,45,35.1,7
49,15777,"Austin III, Calvin",PIT,WR,WR23,27,43,35.9,8
25,15720,"Haskins, Hassan",TEN,RB,RB16,30,44,37.2,11
33,15749,"Pacheco, Isaih",KCC,RB,RB17,31,44,37.8,5
2,13382,"Seals-Jones, Ricky",NYG,TE,TE7,39,39,39.0,1
64,15889,"Okonkwo, Chigoziem",TEN,TE,TE8,39,39,39.0,1
51,15782,"Gray, Danny",SFO,WR,WR24,34,45,40.7,3
60,15802,"Otton, Cade",TBB,TE,TE9,31,47,41.7,7
1,13377,"Patrick, Tim",DEN,WR,WR25,42,42,42.0,1
19,15713,"Ford, Jerome",CLE,RB,RB18,40,45,42.0,5
11,15695,"Strong, Carson",PHI,QB,QB7,40,45,42.5,2
24,15718,"Badie, Tyler",BAL,RB,RB19,38,48,44.0,3
66,15909,"Mitchell, James",DET,TE,TE10,44,44,44.0,1
28,15725,"Conner, Snoop",JAC,RB,RB20,43,46,44.5,2
52,15786,"Nailor, Jalen",MIN,WR,WR26,46,46,46.0,1
29,15728,"Smith, Abram",NOS,RB,RB21,46,46,46.0,1
62,15841,"Toure, Samori",GBP,WR,WR27,47,47,47.0,1
63,15873,"Bellinger, Daniel",NYG,TE,TE11,47,47,47.0,1
27,15723,"Chandler, Ty",MIN,RB,RB22,48,48,48.0,1
